FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening,Notes
"IN, Huntington",1999-2024,18069,Human infections and non-human activity,9,3,2,
"IN, Jackson",1999-2024,18071,Human infections and non-human activity,7,3,0,
"IN, Jasper",1999-2024,18073,Human infections and non-human activity,5,5,0,
"IN, Jay",1999-2024,18075,Human infections and non-human activity,3,1,0,
"IN, Jefferson",1999-2024,18077,Human infections and non-human activity,1,1,0,
"IN, Jennings",1999-2024,18079,Human infections and non-human activity,2,1,0,
"IN, Johnson",1999-2024,18081,Human infections and non-human activity,4,2,1,
"IN, Knox",1999-2024,18083,Human infections and non-human activity,6,1,0,
"IN, Kosciusko",1999-2024,18085,Human infections and non-human activity,14,8,6,
"IN, La Grange",1999-2024,18087,Human infections and non-human activity,7,0,3,
"IN, Lake",1999-2024,18089,Human infections and non-human activity,117,75,11,
"IN, La Porte",1999-2024,18091,Human infections and non-human activity,11,5,0,
"IN, Lawrence",1999-2024,18093,Human infections and non-human activity,1,1,1,
"IN, Madison",1999-2024,18095,Human infections and non-human activity,11,5,2,
"IN, Marion",1999-2024,18097,Human infections and non-human activity,91,66,9,
"IN, Marshall",1999-2024,18099,Human infections and non-human activity,4,2,0,
"IN, Martin",1999-2024,18101,Non-human activity,0,0,0,
"IN, Miami",1999-2024,18103,Human infections and non-human activity,5,2,0,
"IN, Monroe",1999-2024,18105,Human infections and non-human activity,4,1,2,
"IN, Montgomery",1999-2024,18107,Human infections and non-human activity,2,2,0,
"IN, Morgan",1999-2024,18109,Human infections and non-human activity,5,3,0,
"IN, Newton",1999-2024,18111,Non-human activity,0,0,0,
"IN, Noble",1999-2024,18113,Human infections and non-human activity,4,0,2,
"IN, Ohio",1999-2024,18115,Human infections and non-human activity,1,1,1,
"IN, Orange",1999-2024,18117,Human infections and non-human activity,1,1,1,
"IN, Owen",1999-2024,18119,Human infections and non-human activity,1,0,0,
"IN, Parke",1999-2024,18121,Human infections and non-human activity,3,0,0,
"IN, Perry",1999-2024,18123,Human infections and non-human activity,2,2,0,
"IN, Pike",1999-2024,18125,Non-human activity,0,0,0,
"IN, Porter",1999-2024,18127,Human infections and non-human activity,44,25,6,
"IN, Posey",1999-2024,18129,Human infections and non-human activity,2,2,0,
"IN, Pulaski",1999-2024,18131,Non-human activity,0,0,0,
"IN, Putnam",1999-2024,18133,Human infections and non-human activity,1,1,1,
"IN, Randolph",1999-2024,18135,Human infections and non-human activity,3,1,0,
"IN, Ripley",1999-2024,18137,Human infections and non-human activity,3,3,0,
"IN, Rush",1999-2024,18139,Human infections and non-human activity,1,0,0,
"IN, St Joseph",1999-2024,18141,Human infections and non-human activity,13,4,3,
"IN, Scott",1999-2024,18143,Human infections and non-human activity,1,1,0,
"IN, Shelby",1999-2024,18145,Non-human activity,0,0,0,
"IN, Spencer",1999-2024,18147,Human infections and non-human activity,1,1,0,
"IN, Starke",1999-2024,18149,Non-human activity,0,0,0,
"IN, Steuben",1999-2024,18151,Human infections and non-human activity,2,0,1,
"IN, Sullivan",1999-2024,18153,Human infections and non-human activity,2,2,1,
"IN, Switzerland",1999-2024,18155,Human infections and non-human activity,1,1,0,
"IN, Tippecanoe",1999-2024,18157,Human infections and non-human activity,9,7,2,
"IN, Tipton",1999-2024,18159,Human infections and non-human activity,1,1,0,
"IN, Union",1999-2024,18161,Non-human activity,0,0,0,
"IN, Vanderburgh",1999-2024,18163,Human infections and non-human activity,28,18,2,
"IN, Vermillion",1999-2024,18165,Human infections and non-human activity,1,0,0,
"IN, Vigo",1999-2024,18167,Human infections and non-human activity,1,1,0,
"IN, Wabash",1999-2024,18169,Human infections and non-human activity,5,4,0,
"IN, Warren",1999-2024,18171,Non-human activity,0,0,0,
"IN, Warrick",1999-2024,18173,Human infections and non-human activity,3,2,0,
"IN, Washington",1999-2024,18175,Non-human activity,0,0,0,
"IN, Wayne",1999-2024,18177,Human infections and non-human activity,3,1,0,
"IN, Wells",1999-2024,18179,Human infections and non-human activity,8,6,0,
"IN, White",1999-2024,18181,Human infections and non-human activity,3,2,2,
"IN, Whitley",1999-2024,18183,Human infections and non-human activity,11,3,1,
"IA, Adair",1999-2024,19001,Human infections and non-human activity,2,1,0,
"IA, Adams",1999-2024,19003,Human infections and non-human activity,4,2,0,
"IA, Allamakee",1999-2024,19005,Human infections and non-human activity,1,1,0,
"IA, Appanoose",1999-2024,19007,Human infections and non-human activity,1,1,0,
"IA, Audubon",1999-2024,19009,Human infections and non-human activity,8,5,0,
"IA, Benton",1999-2024,19011,Human infections and non-human activity,3,2,1,
"IA, Black Hawk",1999-2024,19013,Human infections and non-human activity,6,1,2,
"IA, Boone",1999-2024,19015,Human infections and non-human activity,6,4,0,
"IA, Bremer",1999-2024,19017,Human infections and non-human activity,5,2,1,
"IA, Buchanan",1999-2024,19019,Human infections and non-human activity,1,0,2,
"IA, Buena Vista",1999-2024,19021,Human infections and non-human activity,5,4,0,
"IA, Butler",1999-2024,19023,Human infections and non-human activity,1,1,0,
"IA, Calhoun",1999-2024,19025,Human infections and non-human activity,6,3,0,
"IA, Carroll",1999-2024,19027,Human infections and non-human activity,8,4,2,
"IA, Cass",1999-2024,19029,Human infections and non-human activity,6,1,1,
"IA, Cedar",1999-2024,19031,Human infections and non-human activity,3,2,1,
"IA, Cerro Gordo",1999-2024,19033,Human infections and non-human activity,6,6,0,
"IA, Cherokee",1999-2024,19035,Human infections and non-human activity,6,1,2,
"IA, Chickasaw",1999-2024,19037,Human infections and non-human activity,5,3,0,
"IA, Clarke",1999-2024,19039,Human infections and non-human activity,4,1,0,
"IA, Clay",1999-2024,19041,Human infections and non-human activity,1,0,2,
"IA, Clayton",1999-2024,19043,Human infections and non-human activity,1,0,0,
"IA, Clinton",1999-2024,19045,Human infections and non-human activity,5,4,2,
"IA, Crawford",1999-2024,19047,Human infections and non-human activity,11,6,3,
"IA, Dallas",1999-2024,19049,Human infections and non-human activity,6,5,3,
"IA, Davis",1999-2024,19051,Non-human activity,0,0,0,
"IA, Decatur",1999-2024,19053,Human infections and non-human activity,1,1,1,
"IA, Delaware",1999-2024,19055,Human infections and non-human activity,1,0,0,
"IA, Des Moines",1999-2024,19057,Human infections and non-human activity,6,3,2,
"IA, Dickinson",1999-2024,19059,Human infections and non-human activity,14,6,0,
"IA, Dubuque",1999-2024,19061,Human infections and non-human activity,3,1,5,
"IA, Emmet",1999-2024,19063,Human infections and non-human activity,5,5,0,
"IA, Fayette",1999-2024,19065,Human infections and non-human activity,3,1,1,
"IA, Floyd",1999-2024,19067,Human infections and non-human activity,5,3,0,
"IA, Franklin",1999-2024,19069,Human infections and non-human activity,3,2,0,
"IA, Fremont",1999-2024,19071,Human infections and non-human activity,5,3,0,
"IA, Greene",1999-2024,19073,Human infections and non-human activity,2,1,0,
"IA, Grundy",1999-2024,19075,Human infections and non-human activity,1,0,1,
"IA, Guthrie",1999-2024,19077,Human infections and non-human activity,1,0,0,
"IA, Hamilton",1999-2024,19079,Human infections and non-human activity,2,2,0,
"IA, Hancock",1999-2024,19081,Human infections and non-human activity,3,1,0,
"IA, Hardin",1999-2024,19083,Human infections and non-human activity,2,2,0,
"IA, Harrison",1999-2024,19085,Human infections and non-human activity,15,10,2,
"IA, Henry",1999-2024,19087,Human infections and non-human activity,6,2,0,
"IA, Howard",1999-2024,19089,Non-human activity,0,0,0,
"IA, Humboldt",1999-2024,19091,Human infections and non-human activity,7,2,1,
"IA, Ida",1999-2024,19093,Human infections and non-human activity,5,2,0,
"IA, Iowa",1999-2024,19095,Human infections and non-human activity,1,0,0,
"IA, Jackson",1999-2024,19097,Human infections and non-human activity,3,2,2,
"IA, Jasper",1999-2024,19099,Human infections and non-human activity,7,3,0,
"IA, Jefferson",1999-2024,19101,Non-human activity,0,0,0,
"IA, Johnson",1999-2024,19103,Human infections and non-human activity,8,5,0,
"IA, Jones",1999-2024,19105,Human infections and non-human activity,3,1,0,
"IA, Keokuk",1999-2024,19107,Human infections and non-human activity,3,2,2,
"IA, Kossuth",1999-2024,19109,Human infections and non-human activity,5,2,1,
"IA, Lee",1999-2024,19111,Human infections and non-human activity,6,4,1,
"IA, Linn",1999-2024,19113,Human infections and non-human activity,8,4,1,
"IA, Louisa",1999-2024,19115,Human infections and non-human activity,2,1,0,
"IA, Lucas",1999-2024,19117,Human infections and non-human activity,2,1,0,
"IA, Lyon",1999-2024,19119,Human infections and non-human activity,26,10,3,
"IA, Madison",1999-2024,19121,Human infections and non-human activity,4,3,0,
"IA, Mahaska",1999-2024,19123,Human infections and non-human activity,5,3,1,
"IA, Marion",1999-2024,19125,Human infections and non-human activity,7,3,1,
"IA, Marshall",1999-2024,19127,Human infections and non-human activity,6,5,1,
"IA, Mills",1999-2024,19129,Human infections and non-human activity,7,3,0,
"IA, Mitchell",1999-2024,19131,Human infections and non-human activity,1,0,0,
"IA, Monona",1999-2024,19133,Human infections and non-human activity,18,7,1,
"IA, Monroe",1999-2024,19135,Human infections and non-human activity,4,2,0,
"IA, Montgomery",1999-2024,19137,Human infections and non-human activity,14,8,0,
"IA, Muscatine",1999-2024,19139,Human infections and non-human activity,3,2,0,
"IA, O Brien",1999-2024,19141,Human infections and non-human activity,8,2,4,
"IA, Osceola",1999-2024,19143,Human infections and non-human activity,4,3,0,
"IA, Page",1999-2024,19145,Human infections and non-human activity,9,5,1,
"IA, Palo Alto",1999-2024,19147,Human infections and non-human activity,2,2,0,
"IA, Plymouth",1999-2024,19149,Human infections and non-human activity,28,10,4,
"IA, Pocahontas",1999-2024,19151,Human infections and non-human activity,4,2,0,
"IA, Polk",1999-2024,19153,Human infections and non-human activity,47,24,13,
"IA, Pottawattamie",1999-2024,19155,Human infections and non-human activity,45,31,6,
"IA, Poweshiek",1999-2024,19157,Human infections and non-human activity,3,2,1,
"IA, Ringgold",1999-2024,19159,Human infections and non-human activity,3,2,1,
"IA, Sac",1999-2024,19161,Human infections and non-human activity,4,2,2,
"IA, Scott",1999-2024,19163,Human infections and non-human activity,9,6,2,
"IA, Shelby",1999-2024,19165,Human infections and non-human activity,7,5,4,
"IA, Sioux",1999-2024,19167,Human infections and non-human activity,49,27,4,
"IA, Story",1999-2024,19169,Human infections and non-human activity,10,6,2,
"IA, Tama",1999-2024,19171,Human infections and non-human activity,4,1,0,
"IA, Taylor",1999-2024,19173,Non-human activity,0,0,0,
"IA, Union",1999-2024,19175,Human infections and non-human activity,2,0,1,
"IA, Van Buren",1999-2024,19177,Human infections and non-human activity,2,1,0,
"IA, Wapello",1999-2024,19179,Human infections and non-human activity,4,2,0,
"IA, Warren",1999-2024,19181,Human infections and non-human activity,9,8,1,
"IA, Washington",1999-2024,19183,Human infections and non-human activity,4,3,1,
"IA, Wayne",1999-2024,19185,Human infections and non-human activity,2,0,1,
"IA, Webster",1999-2024,19187,Human infections and non-human activity,6,4,2,
"IA, Winnebago",1999-2024,19189,Human infections and non-human activity,1,1,2,
"IA, Winneshiek",1999-2024,19191,Human infections and non-human activity,1,0,0,
"IA, Woodbury",1999-2024,19193,Human infections and non-human activity,59,22,11,
"IA, Worth",1999-2024,19195,Non-human activity,0,0,0,
"IA, Wright",1999-2024,19197,Human infections and non-human activity,3,3,0,
IA,1999-2024,19999,Human infections,2,2,0,
"KS, Allen",1999-2024,20001,Non-human activity,0,0,0,
"KS, Anderson",1999-2024,20003,Human infections and non-human activity,0,0,1,
"KS, Atchison",1999-2024,20005,Human infections and non-human activity,2,1,0,
"KS, Barber",1999-2024,20007,Human infections and non-human activity,4,1,0,
"KS, Barton",1999-2024,20009,Human infections and non-human activity,41,11,15,
"KS, Bourbon",1999-2024,20011,Human infections and non-human activity,0,0,1,
"KS, Brown",1999-2024,20013,Human infections and non-human activity,0,0,1,
"KS, Butler",1999-2024,20015,Human infections and non-human activity,13,6,7,
"KS, Chase",1999-2024,20017,Human infections and non-human activity,2,1,1,
"KS, Chautauqua",1999-2024,20019,Human infections and non-human activity,1,0,0,
"KS, Cherokee",1999-2024,20021,Non-human activity,0,0,0,
"KS, Cheyenne",1999-2024,20023,Human infections and non-human activity,3,3,1,
"KS, Clark",1999-2024,20025,Human infections and non-human activity,6,3,1,
"KS, Clay",1999-2024,20027,Human infections and non-human activity,5,3,2,
"KS, Cloud",1999-2024,20029,Human infections and non-human activity,2,1,0,
"KS, Coffey",1999-2024,20031,Non-human activity,0,0,0,
"KS, Comanche",1999-2024,20033,Human infections and non-human activity,1,0,1,
"KS, Cowley",1999-2024,20035,Human infections and non-human activity,4,2,3,
"KS, Crawford",1999-2024,20037,Human infections and non-human activity,4,1,1,
"KS, Decatur",1999-2024,20039,Human infections and non-human activity,3,3,2,
"KS, Dickinson",1999-2024,20041,Human infections and non-human activity,15,8,3,
"KS, Doniphan",1999-2024,20043,Human infections and non-human activity,1,1,1,
"KS, Douglas",1999-2024,20045,Human infections and non-human activity,18,10,3,
"KS, Edwards",1999-2024,20047,Human infections and non-human activity,3,0,2,
"KS, Elk",1999-2024,20049,Non-human activity,0,0,0,
"KS, Ellis",1999-2024,20051,Human infections and non-human activity,11,8,9,
"KS, Ellsworth",1999-2024,20053,Human infections and non-human activity,3,1,2,
"KS, Finney",1999-2024,20055,Human infections and non-human activity,10,4,11,
"KS, Ford",1999-2024,20057,Human infections and non-human activity,23,13,4,
"KS, Franklin",1999-2024,20059,Human infections and non-human activity,2,2,2,
"KS, Geary",1999-2024,20061,Human infections and non-human activity,1,0,1,
"KS, Gove",1999-2024,20063,Human infections and non-human activity,3,0,3,
"KS, Graham",1999-2024,20065,Human infections and non-human activity,3,1,2,
"KS, Grant",1999-2024,20067,Human infections and non-human activity,5,3,2,
"KS, Gray",1999-2024,20069,Human infections and non-human activity,16,12,7,
"KS, Greeley",1999-2024,20071,Human infections and non-human activity,2,1,0,
"KS, Greenwood",1999-2024,20073,Human infections and non-human activity,1,0,0,
"KS, Hamilton",1999-2024,20075,Human infections and non-human activity,5,2,2,
"KS, Harper",1999-2024,20077,Human infections and non-human activity,5,3,1,
"KS, Harvey",1999-2024,20079,Human infections and non-human activity,19,9,9,
"KS, Haskell",1999-2024,20081,Human infections and non-human activity,5,2,4,
"KS, Hodgeman",1999-2024,20083,Human infections and non-human activity,2,2,2,
"KS, Jackson",1999-2024,20085,Human infections and non-human activity,4,4,0,
"KS, Jefferson",1999-2024,20087,Non-human activity,0,0,0,
"KS, Jewell",1999-2024,20089,Human infections and non-human activity,4,3,0,
"KS, Johnson",1999-2024,20091,Human infections and non-human activity,64,52,19,
"KS, Kearny",1999-2024,20093,Human infections and non-human activity,4,1,3,
"KS, Kingman",1999-2024,20095,Human infections and non-human activity,6,4,0,
"KS, Kiowa",1999-2024,20097,Human infections and non-human activity,2,1,1,
"KS, Labette",1999-2024,20099,Non-human activity,0,0,0,
"KS, Lane",1999-2024,20101,Human infections and non-human activity,4,2,1,
"KS, Leavenworth",1999-2024,20103,Human infections and non-human activity,3,0,1,
"KS, Lincoln",1999-2024,20105,Human infections and non-human activity,4,1,0,
"KS, Linn",1999-2024,20107,Human infections and non-human activity,2,0,0,
"KS, Logan",1999-2024,20109,Human infections and non-human activity,2,0,1,
"KS, Lyon",1999-2024,20111,Human infections and non-human activity,2,2,0,
"KS, Mcpherson",1999-2024,20113,Human infections and non-human activity,14,7,13,
"KS, Marion",1999-2024,20115,Human infections and non-human activity,5,1,2,
"KS, Marshall",1999-2024,20117,Human infections and non-human activity,6,4,5,
"KS, Meade",1999-2024,20119,Human infections and non-human activity,12,6,1,
"KS, Miami",1999-2024,20121,Human infections and non-human activity,1,1,0,
"KS, Mitchell",1999-2024,20123,Human infections and non-human activity,4,2,0,
"KS, Montgomery",1999-2024,20125,Human infections and non-human activity,1,1,2,
"KS, Morris",1999-2024,20127,Human infections and non-human activity,2,0,1,
"KS, Morton",1999-2024,20129,Human infections and non-human activity,1,1,3,
"KS, Nemaha",1999-2024,20131,Human infections and non-human activity,1,1,1,
"KS, Neosho",1999-2024,20133,Human infections and non-human activity,1,1,1,
"KS, Ness",1999-2024,20135,Human infections and non-human activity,13,3,1,
"KS, Norton",1999-2024,20137,Human infections and non-human activity,3,0,0,
"KS, Osage",1999-2024,20139,Human infections and non-human activity,1,0,0,
"KS, Osborne",1999-2024,20141,Human infections and non-human activity,5,4,4,
"KS, Ottawa",1999-2024,20143,Human infections and non-human activity,1,1,0,
"KS, Pawnee",1999-2024,20145,Human infections and non-human activity,7,2,5,
"KS, Phillips",1999-2024,20147,Human infections and non-human activity,8,4,4,
"KS, Pottawatomie",1999-2024,20149,Human infections and non-human activity,4,3,0,
"KS, Pratt",1999-2024,20151,Human infections and non-human activity,17,8,3,
"KS, Rawlins",1999-2024,20153,Human infections and non-human activity,2,0,1,
"KS, Reno",1999-2024,20155,Human infections and non-human activity,38,20,14,
"KS, Republic",1999-2024,20157,Human infections and non-human activity,8,3,4,
"KS, Rice",1999-2024,20159,Human infections and non-human activity,8,5,4,
"KS, Riley",1999-2024,20161,Human infections and non-human activity,7,3,5,
"KS, Rooks",1999-2024,20163,Human infections and non-human activity,3,2,2,
"KS, Rush",1999-2024,20165,Human infections and non-human activity,5,3,2,
"KS, Russell",1999-2024,20167,Human infections and non-human activity,2,1,2,
"KS, Saline",1999-2024,20169,Human infections and non-human activity,25,15,5,
"KS, Scott",1999-2024,20171,Human infections and non-human activity,8,5,5,
"KS, Sedgwick",1999-2024,20173,Human infections and non-human activity,113,55,50,
"KS, Seward",1999-2024,20175,Human infections and non-human activity,5,4,2,
"KS, Shawnee",1999-2024,20177,Human infections and non-human activity,20,12,5,
"KS, Sheridan",1999-2024,20179,Human infections and non-human activity,0,0,6,
"KS, Sherman",1999-2024,20181,Human infections and non-human activity,11,5,4,
"KS, Smith",1999-2024,20183,Human infections and non-human activity,2,2,2,
"KS, Stafford",1999-2024,20185,Human infections and non-human activity,17,4,2,
"KS, Stanton",1999-2024,20187,Human infections,4,2,2,
"KS, Stevens",1999-2024,20189,Human infections and non-human activity,5,4,4,
"KS, Sumner",1999-2024,20191,Human infections and non-human activity,4,1,3,
"KS, Thomas",1999-2024,20193,Human infections and non-human activity,7,3,4,
"KS, Trego",1999-2024,20195,Human infections and non-human activity,6,3,2,
"KS, Wabaunsee",1999-2024,20197,Human infections and non-human activity,1,0,0,
"KS, Wallace",1999-2024,20199,Human infections and non-human activity,4,3,1,
"KS, Washington",1999-2024,20201,Human infections and non-human activity,5,4,4,
"KS, Wichita",1999-2024,20203,Human infections and non-human activity,1,1,2,
"KS, Wilson",1999-2024,20205,Human infections and non-human activity,0,0,1,
"KS, Woodson",1999-2024,20207,Human infections and non-human activity,1,0,0,
"KS, Wyandotte",1999-2024,20209,Human infections and non-human activity,18,17,0,
"KY, Adair",1999-2024,21001,Human infections and non-human activity,2,2,0,
"KY, Allen",1999-2024,21003,Human infections and non-human activity,1,1,0,
"KY, Anderson",1999-2024,21005,Human infections and non-human activity,1,0,2,
"KY, Ballard",1999-2024,21007,Non-human activity,0,0,0,
"KY, Barren",1999-2024,21009,Human infections and non-human activity,8,4,0,
"KY, Bath",1999-2024,21011,Non-human activity,0,0,0,
"KY, Bell",1999-2024,21013,Human infections and non-human activity,1,1,0,
"KY, Boone",1999-2024,21015,Human infections and non-human activity,4,2,0,
"KY, Bourbon",1999-2024,21017,Human infections and non-human activity,1,0,0,
"KY, Boyd",1999-2024,21019,Human infections and non-human activity,1,0,0,
"KY, Boyle",1999-2024,21021,Human infections and non-human activity,2,2,0,
"KY, Bracken",1999-2024,21023,Human infections and non-human activity,1,1,0,
"KY, Breathitt",1999-2024,21025,Human infections,1,1,0,
"KY, Breckinridge",1999-2024,21027,Human infections and non-human activity,1,1,0,
"KY, Bullitt",1999-2024,21029,Human infections and non-human activity,3,1,0,
"KY, Butler",1999-2024,21031,Non-human activity,0,0,0,
"KY, Caldwell",1999-2024,21033,Non-human activity,0,0,0,
"KY, Calloway",1999-2024,21035,Non-human activity,0,0,0,
"KY, Campbell",1999-2024,21037,Human infections and non-human activity,6,4,1,
"KY, Carlisle",1999-2024,21039,Non-human activity,0,0,0,
"KY, Carroll",1999-2024,21041,Non-human activity,0,0,0,
"KY, Carter",1999-2024,21043,Non-human activity,0,0,0,
"KY, Casey",1999-2024,21045,Non-human activity,0,0,0,
"KY, Christian",1999-2024,21047,Human infections and non-human activity,3,3,0,
"KY, Clark",1999-2024,21049,Human infections and non-human activity,3,3,1,
"KY, Clay",1999-2024,21051,Non-human activity,0,0,0,
"KY, Clinton",1999-2024,21053,Human infections,2,0,0,
"KY, Crittenden",1999-2024,21055,Non-human activity,0,0,0,
"KY, Cumberland",1999-2024,21057,Non-human activity,0,0,0,
"KY, Daviess",1999-2024,21059,Human infections and non-human activity,8,5,0,
"KY, Edmonson",1999-2024,21061,Human infections and non-human activity,1,1,0,
"KY, Elliott",1999-2024,21063,Non-human activity,0,0,0,
"KY, Estill",1999-2024,21065,Human infections and non-human activity,1,1,0,
"KY, Fayette",1999-2024,21067,Human infections and non-human activity,9,7,5,
"KY, Fleming",1999-2024,21069,Human infections and non-human activity,0,0,1,
"KY, Floyd",1999-2024,21071,Human infections and non-human activity,1,1,2,
"KY, Franklin",1999-2024,21073,Human infections and non-human activity,1,0,0,
"KY, Fulton",1999-2024,21075,Non-human activity,0,0,0,
"KY, Gallatin",1999-2024,21077,Non-human activity,0,0,0,
"KY, Garrard",1999-2024,21079,Non-human activity,0,0,0,
"KY, Grant",1999-2024,21081,Human infections and non-human activity,2,2,0,
"KY, Graves",1999-2024,21083,Human infections and non-human activity,2,1,0,
"KY, Grayson",1999-2024,21085,Human infections and non-human activity,2,0,0,
"KY, Green",1999-2024,21087,Human infections and non-human activity,1,1,0,
"KY, Greenup",1999-2024,21089,Human infections and non-human activity,4,3,0,
"KY, Hancock",1999-2024,21091,Non-human activity,0,0,0,
"KY, Hardin",1999-2024,21093,Human infections and non-human activity,1,1,0,
"KY, Harrison",1999-2024,21097,Non-human activity,0,0,0,
"KY, Hart",1999-2024,21099,Human infections and non-human activity,1,1,0,
"KY, Henderson",1999-2024,21101,Human infections and non-human activity,1,0,0,
"KY, Henry",1999-2024,21103,Human infections and non-human activity,2,2,0,
"KY, Hickman",1999-2024,21105,Non-human activity,0,0,0,
"KY, Hopkins",1999-2024,21107,Human infections and non-human activity,5,3,0,
"KY, Jackson",1999-2024,21109,Non-human activity,0,0,0,
"KY, Jefferson",1999-2024,21111,Human infections and non-human activity,69,56,15,
"KY, Jessamine",1999-2024,21113,Human infections and non-human activity,1,0,2,
"KY, Johnson",1999-2024,21115,Non-human activity,0,0,0,
"KY, Kenton",1999-2024,21117,Human infections and non-human activity,19,12,2,
"KY, Knox",1999-2024,21121,Non-human activity,0,0,0,
"KY, Larue",1999-2024,21123,Non-human activity,0,0,0,
"KY, Laurel",1999-2024,21125,Human infections and non-human activity,2,2,0,
"KY, Lawrence",1999-2024,21127,Non-human activity,0,0,0,
"KY, Lee",1999-2024,21129,Human infections and non-human activity,0,0,1,
"KY, Leslie",1999-2024,21131,Non-human activity,0,0,0,
"KY, Letcher",1999-2024,21133,Non-human activity,0,0,0,
"KY, Lewis",1999-2024,21135,Non-human activity,0,0,0,
"KY, Lincoln",1999-2024,21137,Human infections and non-human activity,2,2,0,
"KY, Livingston",1999-2024,21139,Non-human activity,0,0,0,
"KY, Logan",1999-2024,21141,Human infections and non-human activity,2,2,0,
"KY, Lyon",1999-2024,21143,Non-human activity,0,0,0,
"KY, Mccracken",1999-2024,21145,Human infections and non-human activity,14,9,0,
"KY, Mccreary",1999-2024,21147,Human infections and non-human activity,1,1,0,
"KY, Mclean",1999-2024,21149,Non-human activity,0,0,0,
"KY, Madison",1999-2024,21151,Human infections and non-human activity,1,1,1,
"KY, Magoffin",1999-2024,21153,Non-human activity,0,0,0,
"KY, Marion",1999-2024,21155,Human infections and non-human activity,2,2,0,
"KY, Marshall",1999-2024,21157,Human infections and non-human activity,1,1,1,
"KY, Martin",1999-2024,21159,Non-human activity,0,0,0,
"KY, Mason",1999-2024,21161,Human infections and non-human activity,1,1,0,
"KY, Meade",1999-2024,21163,Non-human activity,0,0,0,
"KY, Menifee",1999-2024,21165,Non-human activity,0,0,0,
"KY, Mercer",1999-2024,21167,Human infections and non-human activity,1,0,0,
"KY, Metcalfe",1999-2024,21169,Human infections and non-human activity,1,0,0,
"KY, Monroe",1999-2024,21171,Human infections and non-human activity,3,3,0,
"KY, Montgomery",1999-2024,21173,Non-human activity,0,0,0,
"KY, Morgan",1999-2024,21175,Non-human activity,0,0,0,
"KY, Muhlenberg",1999-2024,21177,Non-human activity,0,0,0,
"KY, Nelson",1999-2024,21179,Human infections and non-human activity,2,0,0,
"KY, Nicholas",1999-2024,21181,Human infections and non-human activity,0,0,2,
"KY, Ohio",1999-2024,21183,Non-human activity,0,0,0,
"KY, Oldham",1999-2024,21185,Non-human activity,0,0,0,
"KY, Pendleton",1999-2024,21191,Non-human activity,0,0,0,
"KY, Perry",1999-2024,21193,Non-human activity,0,0,0,
"KY, Pike",1999-2024,21195,Non-human activity,0,0,0,
"KY, Powell",1999-2024,21197,Non-human activity,0,0,0,
"KY, Pulaski",1999-2024,21199,Human infections and non-human activity,2,2,0,
"KY, Rockcastle",1999-2024,21203,Non-human activity,0,0,0,
"KY, Rowan",1999-2024,21205,Non-human activity,0,0,0,
"KY, Russell",1999-2024,21207,Human infections and non-human activity,2,0,0,
"KY, Scott",1999-2024,21209,Human infections and non-human activity,0,0,1,
"KY, Shelby",1999-2024,21211,Non-human activity,0,0,0,
"KY, Simpson",1999-2024,21213,Human infections and non-human activity,2,1,0,
"KY, Spencer",1999-2024,21215,Non-human activity,0,0,0,
"KY, Taylor",1999-2024,21217,Human infections and non-human activity,1,1,1,
"KY, Todd",1999-2024,21219,Human infections and non-human activity,1,0,0,
"KY, Trigg",1999-2024,21221,Non-human activity,0,0,0,
"KY, Trimble",1999-2024,21223,Non-human activity,0,0,0,
"KY, Union",1999-2024,21225,Human infections and non-human activity,2,2,0,
"KY, Warren",1999-2024,21227,Human infections and non-human activity,3,2,0,
"KY, Washington",1999-2024,21229,Human infections and non-human activity,1,0,0,
"KY, Wayne",1999-2024,21231,Human infections and non-human activity,2,1,0,
"KY, Webster",1999-2024,21233,Non-human activity,0,0,0,
"KY, Whitley",1999-2024,21235,Human infections and non-human activity,0,0,1,
"KY, Wolfe",1999-2024,21237,Human infections and non-human activity,2,2,0,
"KY, Woodford",1999-2024,21239,Non-human activity,0,0,0,
"LA, Acadia Parish",1999-2024,22001,Human infections and non-human activity,3,2,1,
"LA, Allen Parish",1999-2024,22003,Human infections and non-human activity,7,4,2,
"LA, Ascension Parish",1999-2024,22005,Human infections and non-human activity,88,44,14,
"LA, Assumption Parish",1999-2024,22007,Human infections and non-human activity,5,4,0,
"LA, Avoyelles Parish",1999-2024,22009,Human infections and non-human activity,9,8,2,
"LA, Beauregard Parish",1999-2024,22011,Human infections and non-human activity,9,7,1,
"LA, Bienville Parish",1999-2024,22013,Human infections and non-human activity,3,2,0,
"LA, Bossier Parish",1999-2024,22015,Human infections and non-human activity,76,48,8,
"LA, Caddo Parish",1999-2024,22017,Human infections and non-human activity,235,152,27,
"LA, Calcasieu Parish",1999-2024,22019,Human infections and non-human activity,69,40,10,
"LA, Caldwell Parish",1999-2024,22021,Human infections and non-human activity,6,5,0,
"LA, Cameron Parish",1999-2024,22023,Human infections and non-human activity,1,0,0,
"LA, Catahoula Parish",1999-2024,22025,Human infections,4,2,1,
"LA, Claiborne Parish",1999-2024,22027,Human infections and non-human activity,2,2,0,
"LA, Concordia Parish",1999-2024,22029,Human infections and non-human activity,10,6,1,
"LA, De Soto Parish",1999-2024,22031,Human infections and non-human activity,17,10,5,
